DATE INITIATED,RAPID RESPONSE IDENTIFIER,AGENCY ASSIGNED,NAME,ADDRESS,CITY,COUNTY,NUMBER OF POSITIVE CASES REPORTED
1/14/2021,RR-00033941,PED,RIO RANCHO PUBLIC SCHOOLS,500 LASER RD NE,RIO RANCHO,SANDOVAL,1
1/14/2021,RR-00033914,NMED,INLAND KENWORTH,7711 FORTUNA RD NW,ALBUQUERQUE,BERNALILLO,2
1/14/2021,RR-00033936,NMED,SAM'S CLUB,4400 N MAIN ST # A,ROSWELL,CHAVES,1
1/14/2021,RR-00033913,ALTSD,DEMING SENIOR CITIZENS,800 S GRANITE ST,DEMING,LUNA,1
1/14/2021,RR-00033934,ALTSD,CLOVIS HEALTHCARE & REHAB CTR,1201 N NORRIS ST,CLOVIS,CURRY,1
1/14/2021,RR-00033918,NMED,BANK OF THE WEST,300 ANTHONY DR,ANTHONY,DONA ANA,1
1/14/2021,RR-00033939,PED,NAABA ANI ELEMENTARY SCHOOL,1201 N 1ST ST,BLOOMFIELD,SAN JUAN,1
1/14/2021,RR-00033921,PED,DESERT HILLS ELEMENTARY SCHOOL,280 N ROADRUNNER PKWY,LAS CRUCES,DONA ANA,1
1/14/2021,RR-00033932,NMED,HALL MACHINE & WELDING,102 W MERMOD ST # 8,CARLSBAD,EDDY,1
1/14/2021,RR-00033859,NMED,WA FD BANK,221 W AZTEC AVE,GALLUP,MC KINLEY,1
1/14/2021,RR-00033902,ECECD,EARLY CHILDHOOD EDUCATION CTR,1801 W LEA ST,CARLSBAD,EDDY,1
1/14/2021,RR-00033895,NMED,INFINITY INSURANCE SOLUTIONS,6200 COORS BLVD NW,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00033860,NMED,ALBERTSONS,2551 E LOHMAN AVE,LAS CRUCES,DONA ANA,1
1/14/2021,RR-00033897,ALTSD,RIO AT LAS ESTANCIA,3620 LAS ESTANCIAS DR SW,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00033864,NMED,A1 SELF STORAGE,1591 SAN MATEO LN,SANTA FE,SANTA FE,1
1/14/2021,RR-00033868,NMED,REMAX SELECT,3401 CENTRAL AVE NE,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00033898,NMED,WALMART SUPERCENTER,460 HIGHWAY 528,BERNALILLO,SANDOVAL,2
1/14/2021,RR-00033870,NMED,RICHARD B WALKER PA,6605 UPTOWN BLVD NE,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00033873,NMED,ETHOSENERGY,1113 CAMINA ENTRADA,FARMINGTON,SAN JUAN,1
1/14/2021,RR-00033899,NMED,WALMART SUPERCENTER,26180 US HIGHWAY 70,RUIDOSO DOWNS,LINCOLN,2
1/14/2021,RR-00033896,ALTSD,COLFAX GENERAL LONG-TERM CARE,615 PROSPECT AVE,SPRINGER,COLFAX,1
1/14/2021,RR-00033867,NMED,TRUCARE DENTAL,4824 MCMAHON BLVD NW # 119,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00033900,CYFD,CONFIDENTIAL,CONFIDENTIAL,LAS CRUCES,DONA ANA,1
1/14/2021,RR-00033857,ALTSD,LOVINGTON SENIOR CITIZEN PRGM,18 W AVENUE F,LOVINGTON,LEA,1
1/14/2021,RR-00033901,NMED,LITTLE ANITA'S MEXICAN FOOD,2105 MOUNTAIN RD NW,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00033893,NMED,GEN X CLOTHING,201 SAN PEDRO DR SE # B1,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00033904,ECECD,LA ESCUELITA PRESCHOOL,301 CALLE DEL ESCUELA,BERNALILLO,SANDOVAL,1
1/14/2021,RR-00033874,NMED,QUALITY COLLISION REPAIR,815 TENNESSEE,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00033858,NMED,ALBERTSONS MARKET,7800 ENCHANTED HILLS BLVD NE,RIO RANCHO,SANDOVAL,1
1/14/2021,RR-00033889,NMED,R GREENLEAF ORGANICS INC,4414 MENAUL BLVD NE # 1,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00033862,DOH,PRESBYTERIAN ESPANOLA HOSPITAL,1010 SPRUCE ST,ESPANOLA,RIO ARRIBA,1
1/14/2021,RR-00033881,NMED,ALEGRE ROOFING & CONSTR INC,,SANTA FE,SANTA FE,1
1/14/2021,RR-00033905,NMED,CBRE,7217 BOBWHITE LN,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00033882,NMED,VALLEY COLD STORAGE & TRNSPRTN,101 WATSON LN,LAS CRUCES,DONA ANA,1
1/14/2021,RR-00033890,NMED,HERZOG TRANSIT SVC,100 IRON AVE SE,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00033878,NMED,GSL PROPERTIES INC,700 EUBANK BLVD SE,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00033879,NMED,HORSES UNLIMITED,850 SALIDA SANDIA SW,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00033892,NMED,TITO'S GALLERY,157 BRIDGE ST,LAS VEGAS,SAN MIGUEL,1
1/14/2021,RR-00033903,NMED,WALMART SUPERCENTER,1000 ROBERT RD,GRANTS,CIBOLA,1
1/14/2021,RR-00033907,NMED,NMDOT HILLTOP,3393 PAN AMERICAN FRWY,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00033908,NMED,ZACHARY & SONS HOMES,218 CAMINO LA TIERRA,SANTA FE,SANTA FE,1
1/14/2021,RR-00033906,NMED,RIO RANCHO CITY PARKS & REC,3200 CIVIC CENTER CIR NE,RIO RANCHO,SANDOVAL,1
1/14/2021,RR-00033880,NMED,CASAS DEL RIO,420 REDONDO E,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00033950,HED,WESTERN NEW MEXICO UNIVERSITY,1000 W COLLEGE AVE,SILVER CITY,GRANT,1
1/14/2021,RR-00033986,PED,ZUNI PUBLIC SCHOOLS,10 N SANDY SPRINGS RD,ZUNI,MC KINLEY,1
1/14/2021,RR-00033951,HED,WESTERN NEW MEXICO UNIVERSITY,601 SUNSET ST,TRUTH OR CNSQNCS,SIERRA,1
1/14/2021,RR-00033949,DOH,UNMH,2211 LOMAS BLVD NE,ALBUQUERQUE,BERNALILLO,4
1/14/2021,RR-00033958,DOH,LOVELACE WOMEN'S HOSPITAL,4701 MONTGOMERY BLVD NE,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00033959,NMED,CAMINO REAL ENVIRONMENTAL CTR,1000 CAMINO REAL BLVD,SUNLAND PARK,DONA ANA,1
1/14/2021,RR-00033990,NMED,FOXWORTH-GALBRAITH LUMBER CO,2318 N WHITE SANDS BLVD,ALAMOGORDO,OTERO,1
1/14/2021,RR-00033960,NMED,RISKSENSE INC,4200 OSUNA RD NE # 3-301,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00033973,PED,GRANT MIDDLE SCHOOL,1111 EASTERDAY DR NE,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00033981,NMED,NM HUMAN SERVICES DEPARTMENT,1474 RODEO RD,SANTA FE,SANTA FE,1
1/14/2021,RR-00034022,NMED,CROUCH PLUMBING & HEATING,107 S 14TH ST,ARTESIA,EDDY,1
1/14/2021,RR-00033991,NMED,DA INC,100 LINDBERGH DR,SANTA TERESA,DONA ANA,1
1/14/2021,RR-00033987,PED,TULAROSA MUNICIPAL SCHOOLS,1305 8TH ST,TULAROSA,OTERO,1
1/14/2021,RR-00033989,NMED,BURKES OUTLET,4501 N MAIN ST # 18,ROSWELL,CHAVES,1
1/14/2021,RR-00033994,DHI,FAMILY FOOT HEALTH SPECIALISTS,718 LOMAS BLVD NW # A,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00033996,ALTSD,GENESIS HEALTHCARE CENTER,8100 PALOMAS AVE NE,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00033963,ALTSD,BLOOMFIELD NURSING & REHAB CTR,803 HACIENDA LN,BLOOMFIELD,SAN JUAN,2
1/14/2021,RR-00033988,NMED,SAN JUAN COUNTY MCGEE PARK,41 ROAD 5568,FARMINGTON,SAN JUAN,1
1/14/2021,RR-00033997,NMED,ACT ENVIRO,6137 EDITH BLVD NE,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00033961,NMED,SAGEBRUSH INN & SUITES,1508 PASEO DEL PUEBLO SUR,TAOS,TAOS,1
1/14/2021,RR-00034007,NMED,DLM COLLISION,9809 COCHITI RD SE,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00033965,ALTSD,BLOOMFIELD NURSING & REHAB CTR,803 HACIENDA LN,BLOOMFIELD,SAN JUAN,1
1/14/2021,RR-00034008,NMED,PRICE'S HOME FURNISHINGS,607 DOUGLAS AVE,LAS VEGAS,SAN MIGUEL,1
1/14/2021,RR-00034021,PED,CUBERO ELEMENTARY SCHOOL,28 BACA RD,CUBERO,CIBOLA,1
1/14/2021,RR-00034013,HED,WESTERN NEW MEXICO UNIVERSITY,601 SUNSET ST,TRUTH OR CNSQNCS,SIERRA,1
1/14/2021,RR-00033966,PED,EAGLE RIDGE MIDDLE SCHOOL,800 FRUTA RD NE,RIO RANCHO,SANDOVAL,1
1/14/2021,RR-00034023,NMED,BANK OF AMERICA,691 S TELSHOR BLVD,LAS CRUCES,DONA ANA,1
1/14/2021,RR-00034014,NMED,FARMINGTON UTILITY SVC,101 BROWNING PKWY,FARMINGTON,SAN JUAN,1
1/14/2021,RR-00033979,DHI,BASIN COORDINATED HEALTH CARE,911 N FIRST ST # B,GRANTS,CIBOLA,1
1/14/2021,RR-00034017,NMED,T-MOBILE CALL CTR,1201 MENAUL BLVD NE,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00034010,DOH,SAN JUAN MEDICAL GROUP,622 W MAPLE ST # B,FARMINGTON,SAN JUAN,1
1/14/2021,RR-00034040,NMED,WALMART NEIGHBORHOOD MARKET,8511 GOLF COURSE RD NW,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00034012,NMED,T-MOBILE CALL CTR,1201 MENAUL BLVD NE,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00033998,NMED,ROCK GAP ENGINEERING LLC,6759 ACADEMY RD NE,ALBUQUERQUE,BERNALILLO,2
1/14/2021,RR-00034001,PED,COLINAS DEL NORTE ELEMENTARY,1001 NIGHT SKY AVE NE,RIO RANCHO,SANDOVAL,1
1/14/2021,RR-00033984,DOH,UNMH,2211 LOMAS BLVD NE,ALBUQUERQUE,BERNALILLO,4
1/14/2021,RR-00034015,PED,COUNTRY CLUB ELEMENTARY SCHOOL,5300 FOOTHILLS DR,FARMINGTON,SAN JUAN,1
1/14/2021,RR-00033985,NMED,BASKIN-ROBBINS,1902 CENTRAL AVE SE,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00033993,NMED,ALBERTSONS MARKET,1625 RIO BRAVO BLVD SW # 11,ALBUQUERQUE,BERNALILLO,2
1/14/2021,RR-00033995,PED,HELEN CORDERO ELEMENTARY SCH,8800 EUCARIZ AVE SW,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00033942,NMED,DOLLAR GENERAL,2201 W GRAND AVE,CLOVIS,CURRY,1
1/14/2021,RR-00033945,DOH,PMS CENTRAL REG ADMIN,5501 WILSHIRE AVE NE # C,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00033916,HED,EASTERN NM UNIVERSITY-ROSWELL,52 UNIVERSITY BLVD,ROSWELL,CHAVES,1
1/14/2021,RR-00033935,NMED,WESTERN COMMERCE BANK,501 N CANAL ST,CARLSBAD,EDDY,1
1/14/2021,RR-00033937,NMED,RENT-A-CENTER,816 N WHITE SANDS BLVD,ALAMOGORDO,OTERO,1
1/14/2021,RR-00033915,NMED,AUTOZONE,3975 S MAIN ST,LAS CRUCES,DONA ANA,1
1/14/2021,RR-00033953,NMED,CHAPTER 13 BANKRUPTCY TRUSTEE,625 SILVER AVE SW # 350,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00033954,DOH,SOCORRO GENERAL HOSP,1202 HIGHWAY 60,SOCORRO,SOCORRO,1
1/14/2021,RR-00033967,NMED,MAGISTRATE COURT,110 CALLE DE ALEGRA,LAS CRUCES,DONA ANA,1
1/14/2021,RR-00033922,PED,CENTRAL ELEMENTARY SCHOOL,150 N ALAMEDA BLVD,LAS CRUCES,DONA ANA,1
1/14/2021,RR-00033962,DHI,MOUNTAIN SHADOWS,800 N TELSHOR BLVD # B,LAS CRUCES,DONA ANA,1
1/14/2021,RR-00033944,HED,THE UNIVERSITY OF NEW MEXICO,1 UNIV OF NEW MEXICO,ALBUQUERQUE,BERNALILLO,2
1/14/2021,RR-00033982,NMED,T-MOBILE CALL CTR,1201 MENAUL BLVD NE,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00033946,NMED,SANTA FE STUDIOS,1 SANTA FE STUDIOS RD,SANTA FE,SANTA FE,1
1/14/2021,RR-00033943,NMED,THORNBURG INVESTMENT MGMT,2300 N RIDGETOP RD,SANTA FE,SANTA FE,1
1/14/2021,RR-00033968,NMED,BLAKE'S LOTABURGER,1611 W MAIN ST,FARMINGTON,SAN JUAN,1
1/14/2021,RR-00033978,PED,RIO RANCHO MIDDLE SCHOOL,1600 LOMA COLORADO BLVD NE,RIO RANCHO,SANDOVAL,1
1/14/2021,RR-00034002,NMED,WALMART DISTRIBUTION CTR,670 LOS MORROS RD NW,LOS LUNAS,VALENCIA,1
1/14/2021,RR-00033955,NMED,MONTOYA JR ARTHUR B DDS,2610 TRINITY DR # 3,LOS ALAMOS,LOS ALAMOS,1
1/14/2021,RR-00033977,NMED,MASTHEAD INTERNATIONAL INC,700 QUANTUM RD NE,RIO RANCHO,SANDOVAL,1
1/14/2021,RR-00033957,NMED,P F CHANG'S CHINA BISTRO,4440 THE 25 WAY NE,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00033948,NMED,ACE HARDWARE,3025 HIGHWAY 180 E,SILVER CITY,GRANT,1
1/14/2021,RR-00033980,PED,DEXTER ELEMENTARY SCHOOL,401 W 1ST ST,DEXTER,CHAVES,1
1/14/2021,RR-00033956,NMED,CUBA VILLAGE,16 B E CORDOVA ST,CUBA,SANDOVAL,2
1/14/2021,RR-00033964,NMED,STRIPES,600 W COLLEGE BLVD,ROSWELL,CHAVES,1
1/14/2021,RR-00033947,NMED,BUILDERS FIRST SOURCE,7801 TIBURON ST NE,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00033970,NMED,WALMART SUPERCENTER,233 S NEW YORK AVE,ALAMOGORDO,OTERO,1
1/14/2021,RR-00033976,DOH,TRICORE REFERENCE LABS,1001 WOODWARD PL NE,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00033974,NMED,AFSCME COUNCIL 18,11786 HIGHWAY 180 E,ARENAS VALLEY,GRANT,1
1/14/2021,RR-00034020,NMED,T-MOBILE,5421 JEFFERSON ST NE,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00034025,NMED,VESTAS SAGAMORE PROJECT,2744 NM 114,ROGERS,ROOSEVELT,1
1/14/2021,RR-00034019,NMED,DORY-GARDUNO LAW FIRM LLC,10320 COTTONWOOD PARK NW,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00034036,NMED,Angel Fire Resort,10 MILLER LANE,ANGEL FIRE,COLFAX,1
1/14/2021,RR-00034039,NMED,BNSF RAILWAY,106 NORTH 1ST ST,BELEN,VALENCIA,1
1/14/2021,RR-00034058,PED,ROSWELL SCHOOL DISTRICT ADMIN,300 N KENTUCKY AVE,ROSWELL,CHAVES,1
1/14/2021,RR-00034038,NMED,BNSF RAILWAY CO,121 S MAIN ST,CLOVIS,CURRY,1
1/14/2021,RR-00034048,NMED,ALBUQUERQUE MOVING & STORAGE,5001 PASEO DEL NORTE NE,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00034051,NMED,WALMART SUPERCENTER,2501 HIGHWAY 180 E,SILVER CITY,GRANT,1
1/14/2021,RR-00034054,NMED,NM WORKFORCE SOLUTIONS,401 BROADWAY BLVD NE,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00034037,NMED,SUPREME COURT OF NEW MEXICO,237 DON GASPAR AVE # 104,SANTA FE,SANTA FE,1
1/14/2021,RR-00033983,NMED,VIRGIN GALACTIC HOLDINGS INC,166 N ROADRUNNER PKWY # 1C,LAS CRUCES,DONA ANA,1
1/14/2021,RR-00033999,NMED,EYE ASSOCIATES,1606 SE MAIN ST,ROSWELL,CHAVES,1
1/14/2021,RR-00033992,NMED,JIM KOONTZ & ASSOC,3120 N GRIMES ST,HOBBS,LEA,1
1/14/2021,RR-00034000,PED,ASPEN ELEMENTARY SCHOOL,2182 33RD ST,LOS ALAMOS,LOS ALAMOS,1
1/14/2021,RR-00034024,NMED,ZIA THRIFT SHOP,816 9TH ST,ALAMOGORDO,OTERO,1
1/14/2021,RR-00033969,NMED,SAFEWAY,980 US HIGHWAY 491,GALLUP,MC KINLEY,1
1/14/2021,RR-00033971,NMED,STAHMANNS INC,22500 S HIGHWAY 28,LA MESA,DONA ANA,1
1/14/2021,RR-00034027,PED,PETROGLYPH ELEMENTARY,5100 MARNA LYNN AVE NW,ALBUQUERQUE,BERNALILLO,2
1/14/2021,RR-00033975,NMED,NEW MEXICO UNITED,1601 AVENIDA CESAR CHAVEZ SE,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00034011,DOH,PECOS VALLEY MEDICAL CTR INC,PO BOX 710,PECOS,SAN MIGUEL,1
1/14/2021,RR-00034016,NMED,TEKNICARE,12204 PALM SPRINGS CT NE,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00034026,NMED,Bank of America,4330 PICABO ST NE,RIO RANCHO,SANDOVAL,1
1/14/2021,RR-00034003,NMED,BRUCKNER TRUCK SALES,2121 NW COUNTY RD,HOBBS,LEA,1
1/14/2021,RR-00034006,DOH,MESILLA VALLEY HOSPITAL,3751 DEL REY BLVD,LAS CRUCES,DONA ANA,1
1/14/2021,RR-00034029,NMED,SUNBELT RENTALS,1317 1ST ST,ALAMOGORDO,OTERO,1
1/14/2021,RR-00034004,NMED,DAIRY LEA DRIVE IN,2216 W LEA ST,CARLSBAD,EDDY,1
1/14/2021,RR-00034005,HED,WESTERN NEW MEXICO UNIVERSITY,601 SUNSET ST,TRUTH OR CNSQNCS,SIERRA,1
1/14/2021,RR-00034028,PED,BROWN ELEMENTARY SCHOOL,520 W 5TH ST,PORTALES,ROOSEVELT,1
1/14/2021,RR-00034018,HED,THE UNIVERSITY OF NEW MEXICO,1 UNIV OF NEW MEXICO,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00034009,PED,CIELO AZUL ELEMENTARY,3804 SHILOH RD NE,RIO RANCHO,SANDOVAL,1
1/14/2021,RR-00034042,DOH,LOS ALAMOS NATIONAL LABORATORY,PO BOX 1663,LOS ALAMOS,LOS ALAMOS,8
1/14/2021,RR-00034050,NMED,MISSION VETERINARY CLINIC,2451 CABEZON BLVD SE # 101,RIO RANCHO,SANDOVAL,1
1/14/2021,RR-00034074,DHI,RIGHT AT HOME,3520 PAN AMERICAN FWY NE,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00034078,NMED,WALMART NEIGHBORHOOD MARKET,8511 GOLF COURSE RD NW,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00034073,DHI,HOME KARE INC,2293 DIVOT AVE,LAS CRUCES,DONA ANA,1
1/14/2021,RR-00034085,NMED,ALBUQUERQUE POLICE ACADEMY,5412 2ND ST NW,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00034063,NMED,SPEEDWAY,3215 HIGHWAY 64 HOGBACK,WATERFLOW,SAN JUAN,1
1/14/2021,RR-00034065,NMED,LOVINGTON STREET DEPT,1002 S COMMERCIAL,LOVINGTON,LEA,1
1/14/2021,RR-00034076,NMED,VCA VETERINARY CARE ANIMAL,9901 MONTGOMERY BLVD NE,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00034062,DHI,SOUTHWESTERN PRIVATE SVC,HIGHWAY 491,SHIPROCK,SAN JUAN,1
1/14/2021,RR-00034072,NMED,MC DONALD'S,700 US HIGHWAY 491,GALLUP,MC KINLEY,1
1/14/2021,RR-00034079,NMED,LOVINGTON INN,1600 W AVENUE D,LOVINGTON,LEA,1
1/14/2021,RR-00034080,NMED,ALDRIDGE ACTKINSON & RUTTER,1200 MITCHELL ST,CLOVIS,CURRY,1
1/14/2021,RR-00034083,NMED,WALMART SUPERCENTER,2001 HR ASHBAUGH DR,TRUTH OR CNSQNCS,SIERRA,1
1/14/2021,RR-00034093,PED,ATRISCO HERITAGE HIGH SCHOOL,10800 DENNIS CHAVEZ BLVD SW,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00034082,NMED,MEGA CORP,700 OSUNA RD NE,ALBUQUERQUE,BERNALILLO,2
1/14/2021,RR-00034097,DHI,COUNTY OF LUNA THE HEALING HSE,522 W PINE ST,DEMING,LUNA,1
1/14/2021,RR-00034066,NMED,ALBERTSONS MARKET,1300 10TH ST,ALAMOGORDO,OTERO,1
1/14/2021,RR-00034089,DOH,ENTRADA CONTENTA HEALTH CTR,5501 HERRERA DR,SANTA FE,SANTA FE,1
1/14/2021,RR-00034081,NMED,WALMART,3251 CERRILLOS RD,SANTA FE,SANTA FE,1
1/14/2021,RR-00034064,NMED,O'REILLY AUTO PARTS,520 W AZTEC BLVD,AZTEC,SAN JUAN,1
1/14/2021,RR-00034088,PED,FULL HOUSE SCHOOL AGE,1815 N FLORIDA AVE,ALAMOGORDO,OTERO,1
1/14/2021,RR-00034092,NMED,COG OPERATING LLC,1401 COMMERCE DR,CARLSBAD,EDDY,1
1/14/2021,RR-00034052,DHI,GUIDANCE CENTER OF LEA COUNTY,920 W BROADWAY ST,HOBBS,LEA,1
1/14/2021,RR-00034041,PED,ROSWELL INDEPENDENT SCH DIST,300 N KENTUCKY AVE,ROSWELL,CHAVES,1
1/14/2021,RR-00034053,PED,ROSWELL SCHOOL DISTRICT ADMIN,300 N KENTUCKY AVE,ROSWELL,CHAVES,1
1/14/2021,RR-00034059,NMED,CHICK-FIL-A,1105 E UNIVERSITY AVE,LAS CRUCES,DONA ANA,1
1/14/2021,RR-00034049,NMED,MC COY'S BUILDING SUPPLY CTR,303 E WOOD AVE,CARLSBAD,EDDY,1
1/14/2021,RR-00034056,NMED,WALMART SUPERCENTER,2001 HR ASHBAUGH DR,TRUTH OR CNSQNCS,SIERRA,1
1/14/2021,RR-00034077,NMED,CITY OF ALBUQUERQUE DEPT OF AVIATION,2200 SUNPORT BLVD SE,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00034055,DHI,FIRST CHOICE CMNTY HEALTH CARE,2001 CENTRO FAMILIAR BL SW # 1,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00034046,PED,ARROYO DEL OSO ELEMENTARY SCH,6504 HARPER DR NE,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00034061,NMED,ENMR PLATEAU TELECOMMUNICATION,7111 N PRINCE ST,CLOVIS,CURRY,1
1/14/2021,RR-00034069,NMED,TAOS PIZZA OUTBACK,712 PASEO DEL PUEBLO NORTE,TAOS,TAOS,1
1/14/2021,RR-00034047,NMED,CENTURY TWENTY-ONE ASSOCIATED,1205 W PIERCE ST,CARLSBAD,EDDY,1
1/14/2021,RR-00034067,NMED,XCEL ENERGY,401 S NORRIS ST,CLOVIS,CURRY,1
1/14/2021,RR-00034060,HED,NEW MEXICO STATE UNIVERSITY,1780 E UNIVERSITY AVE,LAS CRUCES,DONA ANA,1
1/14/2021,RR-00034068,PED,SILVER CONSOLIDATED SCHOOLS,2810 N SWAN ST,SILVER CITY,GRANT,1
1/14/2021,RR-00034057,NMED,COMFORT INN SANTA FE,4312 CERRILLOS RD,SANTA FE,SANTA FE,1
1/14/2021,RR-00034099,NMED,CF COLLISION,4490 CERRILLOS RD,SANTA FE,SANTA FE,1
1/14/2021,RR-00034102,NMED,WENDY'S,2410 E HISTORIC HIGHWAY 66,GALLUP,MC KINLEY,1
1/14/2021,RR-00034098,NMED,L & R WELL SVC,2004 S 1ST ST,ARTESIA,EDDY,1
1/14/2021,RR-00034103,NMED,LOS ALAMOS TRANSIT DEPT,101 CAMINO ENTRADA,LOS ALAMOS,LOS ALAMOS,1
1/14/2021,RR-00034124,PED,LOS ALAMOS HIGH SCHOOL,1300 DIAMOND DR,LOS ALAMOS,LOS ALAMOS,1
1/14/2021,RR-00034142,NMED,BORMAN MOTOR CO,470 W BOUTZ RD,LAS CRUCES,DONA ANA,1
1/14/2021,RR-00034146,NMED,SECURITY FINANCE,108 S CANAL ST,CARLSBAD,EDDY,1
1/14/2021,RR-00034111,NMED,EL PAISANO,3140 CERRILLOS RD # D,SANTA FE,SANTA FE,1
1/14/2021,RR-00034125,PED,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00034070,NMED,TITLE MAX,4420 CENTRAL AVE SW,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00034071,DOH,LOVELACE WESTSIDE HOSPITAL,10501 GOLF COURSE RD NW,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00034075,NMED,NEW MEXICO PINON COFFEE CO,2420 COMANCHE RD NE # D2,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00034086,NMED,WALMART NEIGHBORHOOD MARKET,8511 GOLF COURSE RD NW,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00034084,DHI,APEXNETWORK PHYSICAL THERAPY,4206 US 64 # A1,KIRTLAND,SAN JUAN,1
1/14/2021,RR-00034090,NMED,L & R WELL SVC,2004 S 1ST ST,ARTESIA,EDDY,1
1/14/2021,RR-00034094,NMED,CENTRAL NEW MEXICO ELECTRIC,301 N SMT,MOUNTAINAIR,TORRANCE,1
1/14/2021,RR-00034101,NMED,TARGET,2725 N MAIN ST,ROSWELL,CHAVES,1
1/14/2021,RR-00034104,NMED,WALMART DISTRIBUTION CTR,670 LOS MORROS RD NW,LOS LUNAS,VALENCIA,1
1/14/2021,RR-00034091,NMED,GENERAL MILLS INC,3501 PASEO DEL NORTE NE,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00034096,ALTSD,RED ROCKS CARE CTR,3720 CHURCH ROCK ST,GALLUP,MC KINLEY,1
1/14/2021,RR-00034095,NMED,WALMART SUPERCENTER,26180 US HIGHWAY 70,RUIDOSO DOWNS,LINCOLN,1
1/14/2021,RR-00034100,NMED,L & R WELL SVC,2004 S 1ST ST,ARTESIA,EDDY,1
1/14/2021,RR-00034161,NMED,SMITH'S FOOD & DRUG CTR,4700 TRAMWAY BLVD NE,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00034162,PED,NASCHITTI ELEMENTARY SCHOOL,HIGHWAY 491 MILE POST 41,TOHATCHI,MC KINLEY,1
1/14/2021,RR-00034153,ECECD,FIRST STEPS,2600 SULLIVAN AVE,FARMINGTON,SAN JUAN,1
1/14/2021,RR-00034155,PED,YUCCA MIDDLE SCHOOL,1500 SYCAMORE ST,CLOVIS,CURRY,1
1/14/2021,RR-00034150,NMED,ALBERTSONS MARKET,4950 MONTGOMERY BLVD NE,ALBUQUERQUE,BERNALILLO,1
1/14/2021,RR-00034160,PED,CENTRAL ELEMENTARY SCH,211 CEDAR ST,SANTA CLARA,RIO ARRIBA,1
1/14/2021,RR-00034163,DDSD,ABRAZOS FAMILY SUPPORT SVC,412 CAMINO DON TOMAS,BERNALILLO,SANDOVAL,1
